id,happiness,happy_num,labor,hours,marital,ballot
2472,Pretty happy,2,Working fulltime,50,Never married,Ballot b
2473,Pretty happy,2,Working fulltime,40,Never married,Ballot c
2474,Pretty happy,2,Working parttime,28,Never married,Ballot b
2476,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2477,Pretty happy,2,Working fulltime,27,Married,Ballot a
2478,Pretty happy,2,Working fulltime,20,Married,Ballot b
2480,Pretty happy,2,Working fulltime,89,Married,Ballot c
2486,Very happy,3,Working fulltime,50,Married,Ballot c
2487,Not too happy,1,Working fulltime,1,Widowed,Ballot a
2489,Pretty happy,2,Working fulltime,31,Married,Ballot a
2491,Pretty happy,2,Working fulltime,40,Married,Ballot c
2496,Pretty happy,2,Working fulltime,40,Married,Ballot a
2498,Very happy,3,Working parttime,4,Married,Ballot b
2499,Pretty happy,2,Working fulltime,36,Married,Ballot a
2500,Pretty happy,2,Working parttime,16,Married,Ballot b
2502,Pretty happy,2,Working fulltime,40,Divorced,Ballot c
2504,Pretty happy,2,Working parttime,15,Divorced,Ballot b
2505,Pretty happy,2,Working fulltime,45,Married,Ballot a
2508,Very happy,3,Working fulltime,47,Married,Ballot a
2509,Not too happy,1,Working fulltime,41,Separated,Ballot c
2513,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2514,Pretty happy,2,Working fulltime,40,Divorced,Ballot c
2515,Pretty happy,2,Working fulltime,40,Married,Ballot b
2518,Pretty happy,2,Working fulltime,50,Separated,Ballot b
2519,Not too happy,1,Working fulltime,45,Separated,Ballot c
2520,Pretty happy,2,Working fulltime,40,Married,Ballot a
2522,Very happy,3,Working fulltime,37,Married,Ballot b
2526,Pretty happy,2,Working fulltime,40,Married,Ballot b
2527,Pretty happy,2,Working fulltime,52,Married,Ballot a
2528,Pretty happy,2,Working fulltime,40,Married,Ballot c
2532,Very happy,3,Working fulltime,50,Separated,Ballot a
2534,Very happy,3,Working fulltime,40,Divorced,Ballot c
2535,Very happy,3,Working fulltime,49,Divorced,Ballot a
2536,Pretty happy,2,Working fulltime,40,Married,Ballot b
2537,Pretty happy,2,Working fulltime,35,Married,Ballot c
2538,Very happy,3,Working fulltime,40,Married,Ballot b
2539,Pretty happy,2,Working fulltime,65,Married,Ballot c
2540,Very happy,3,Working fulltime,40,Married,Ballot c
2543,Pretty happy,2,Working fulltime,45,Married,Ballot b
2545,Pretty happy,2,Working fulltime,60,Married,Ballot b
2546,Pretty happy,2,Working fulltime,45,Never married,Ballot b
2547,Pretty happy,2,Working fulltime,57,Married,Ballot b
2549,Very happy,3,Working fulltime,48,Married,Ballot b
2552,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2554,Very happy,3,Working fulltime,40,Married,Ballot c
2556,Very happy,3,Working fulltime,45,Married,Ballot a
2557,Pretty happy,2,Working parttime,17,Never married,Ballot b
2558,Very happy,3,Working fulltime,60,Married,Ballot c
2560,Pretty happy,2,Working fulltime,44,Married,Ballot c
2561,Pretty happy,2,Working fulltime,60,Married,Ballot b
2562,Very happy,3,Working fulltime,45,Married,Ballot b
2563,Very happy,3,Working fulltime,45,Married,Ballot a
2564,Very happy,3,Working fulltime,45,Married,Ballot c
2566,Very happy,3,Working fulltime,89,Married,Ballot c
2567,Pretty happy,2,Working parttime,37,Divorced,Ballot b
2568,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2569,Very happy,3,Working fulltime,40,Never married,Ballot a
2570,Pretty happy,2,Working fulltime,67,Never married,Ballot c
2571,Pretty happy,2,Working fulltime,50,Married,Ballot c
2572,Not too happy,1,Working fulltime,72,Divorced,Ballot b
2573,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2576,Pretty happy,2,Working parttime,22,Divorced,Ballot b
2577,Very happy,3,Working parttime,22,Never married,Ballot a
2579,Pretty happy,2,Working fulltime,40,Married,Ballot c
2580,Pretty happy,2,Working fulltime,40,Divorced,Ballot b
2583,Very happy,3,Working fulltime,39,Widowed,Ballot b
2585,Very happy,3,Working fulltime,65,Divorced,Ballot c
2589,Pretty happy,2,Working fulltime,40,Never married,Ballot c
2590,Pretty happy,2,Working fulltime,36,Divorced,Ballot a
2591,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2593,Pretty happy,2,Working fulltime,56,Never married,Ballot a
2594,Very happy,3,Working fulltime,40,Divorced,Ballot c
2595,Pretty happy,2,Working fulltime,55,Married,Ballot b
2597,Pretty happy,2,Working fulltime,40,Married,Ballot c
2603,Not too happy,1,Working parttime,36,Never married,Ballot a
2606,Very happy,3,Working fulltime,70,Never married,Ballot c
2610,Very happy,3,Working fulltime,52,Married,Ballot b
2612,Very happy,3,Working parttime,40,Married,Ballot c
2615,Pretty happy,2,Working fulltime,40,Married,Ballot c
2616,Pretty happy,2,Working parttime,45,Never married,Ballot c
2618,Pretty happy,2,Working parttime,22,Widowed,Ballot a
2620,Pretty happy,2,Working fulltime,43,Divorced,Ballot a
2623,Pretty happy,2,Working fulltime,50,Never married,Ballot c
2624,Pretty happy,2,Working fulltime,52,Married,Ballot a
2625,Pretty happy,2,Working fulltime,60,Married,Ballot b
2626,Very happy,3,Working parttime,30,Never married,Ballot a
2627,Pretty happy,2,Working parttime,15,Married,Ballot b
2628,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2630,Pretty happy,2,Working parttime,28,Divorced,Ballot a
2631,Pretty happy,2,Working fulltime,40,Divorced,Ballot c
2632,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2633,Very happy,3,Working parttime,25,Married,Ballot a
2634,Pretty happy,2,Working fulltime,40,Married,Ballot c
2635,Pretty happy,2,Working parttime,19,Divorced,Ballot b
2636,Pretty happy,2,Working parttime,34,Never married,Ballot c
2637,Very happy,3,Working fulltime,40,Married,Ballot b
2638,Pretty happy,2,Working fulltime,40,Divorced,Ballot a
2639,Pretty happy,2,Working fulltime,35,Married,Ballot c
2640,Very happy,3,Working fulltime,45,Married,Ballot b
2643,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2645,Pretty happy,2,Working fulltime,50,Married,Ballot b
2646,Not too happy,1,Working fulltime,48,Divorced,Ballot c
2649,Pretty happy,2,Working fulltime,50,Married,Ballot a
2651,Not too happy,1,Working fulltime,40,Never married,Ballot b
2652,Pretty happy,2,Working fulltime,39,Divorced,Ballot a
2656,Pretty happy,2,Working fulltime,45,Married,Ballot c
2657,Very happy,3,Working fulltime,40,Married,Ballot b
2664,Pretty happy,2,Working fulltime,39,Divorced,Ballot a
2667,Very happy,3,Working fulltime,50,Married,Ballot b
2670,Very happy,3,Working fulltime,89,Married,Ballot c
2671,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2672,Very happy,3,Working fulltime,70,Married,Ballot c
2675,Pretty happy,2,Working fulltime,40,Married,Ballot c
2677,Pretty happy,2,Working fulltime,75,Divorced,Ballot c
2678,Pretty happy,2,Working fulltime,40,Divorced,Ballot b
2679,Very happy,3,Working fulltime,56,Never married,Ballot a
2682,Very happy,3,Working fulltime,40,Married,Ballot b
2684,Very happy,3,Working fulltime,50,Never married,Ballot b
2685,Very happy,3,Working fulltime,35,Married,Ballot a
2686,Pretty happy,2,Working fulltime,40,Married,Ballot b
2687,Pretty happy,2,Working fulltime,40,Divorced,Ballot a
2688,Pretty happy,2,Working fulltime,32,Married,Ballot b
2691,Pretty happy,2,Working fulltime,40,Married,Ballot c
2693,Pretty happy,2,Working fulltime,35,Married,Ballot a
2694,Pretty happy,2,Working fulltime,40,Widowed,Ballot c
2696,Pretty happy,2,Working fulltime,45,Married,Ballot a
2698,Pretty happy,2,Working fulltime,40,Married,Ballot b
2700,Pretty happy,2,Working fulltime,28,Never married,Ballot c
2701,Very happy,3,Working fulltime,49,Married,Ballot b
2706,Pretty happy,2,Working fulltime,40,Married,Ballot a
2707,Pretty happy,2,Working fulltime,50,Married,Ballot b
2708,Not too happy,1,Working fulltime,50,Never married,Ballot a
2709,Pretty happy,2,Working fulltime,64,Married,Ballot c
2711,Pretty happy,2,Working fulltime,50,Divorced,Ballot c
2712,Pretty happy,2,Working parttime,36,Divorced,Ballot c
2714,Pretty happy,2,Working fulltime,40,Married,Ballot a
2715,Very happy,3,Working fulltime,45,Married,Ballot c
2716,Pretty happy,2,Working parttime,30,Never married,Ballot b
2717,Pretty happy,2,Working fulltime,45,Married,Ballot a
2718,Very happy,3,Working fulltime,44,Married,Ballot c
2721,Pretty happy,2,Working fulltime,70,Married,Ballot c
2722,Pretty happy,2,Working parttime,27,Never married,Ballot c
2724,Pretty happy,2,Working fulltime,40,Widowed,Ballot a
2726,Not too happy,1,Working parttime,10,Widowed,Ballot c
2728,Pretty happy,2,Working fulltime,80,Never married,Ballot a
2730,Pretty happy,2,Working parttime,36,Married,Ballot c
2731,Pretty happy,2,Working fulltime,50,Never married,Ballot a
2732,Not too happy,1,Working parttime,20,Widowed,Ballot b
2734,Very happy,3,Working fulltime,45,Married,Ballot c
2735,Pretty happy,2,Working fulltime,41,Married,Ballot b
2736,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2737,Not too happy,1,Working fulltime,48,Divorced,Ballot c
2739,Pretty happy,2,Working fulltime,45,Married,Ballot b
2740,Very happy,3,Working fulltime,40,Divorced,Ballot a
2745,Very happy,3,Working fulltime,40,Married,Ballot b
2746,Pretty happy,2,Working fulltime,32,Never married,Ballot c
2747,Very happy,3,Working fulltime,40,Married,Ballot b
2751,Very happy,3,Working fulltime,40,Divorced,Ballot b
2753,Very happy,3,Working fulltime,63,Widowed,Ballot c
2754,Pretty happy,2,Working fulltime,40,Married,Ballot b
2756,Very happy,3,Working fulltime,38,Married,Ballot a
2757,Very happy,3,Working fulltime,60,Never married,Ballot a
2758,Pretty happy,2,Working fulltime,48,Never married,Ballot b
2761,Pretty happy,2,Working parttime,30,Widowed,Ballot a
2762,Very happy,3,Working fulltime,45,Married,Ballot b
2764,Not too happy,1,Working fulltime,40,Married,Ballot a
2765,Very happy,3,Working fulltime,40,Never married,Ballot a
2769,Pretty happy,2,Working fulltime,40,Married,Ballot c
2771,Pretty happy,2,Working fulltime,40,Married,Ballot b
2772,Very happy,3,Working parttime,20,Divorced,Ballot a
2773,Very happy,3,Working fulltime,40,Never married,Ballot b
2775,Very happy,3,Working fulltime,40,Married,Ballot c
2776,Very happy,3,Working fulltime,40,Married,Ballot b
2777,Very happy,3,Working fulltime,60,Never married,Ballot a
2778,Pretty happy,2,Working parttime,27,Married,Ballot c
2779,Pretty happy,2,Working fulltime,72,Separated,Ballot c
2781,Very happy,3,Working fulltime,40,Married,Ballot b
2782,Pretty happy,2,Working fulltime,50,Married,Ballot a
2786,Not too happy,1,Working fulltime,40,Married,Ballot c
2787,Not too happy,1,Working fulltime,32,Never married,Ballot a
2791,Not too happy,1,Working parttime,30,Married,Ballot b
2797,Pretty happy,2,Working fulltime,38,Divorced,Ballot c
2801,Very happy,3,Working fulltime,50,Never married,Ballot b
2805,Not too happy,1,Working parttime,32,Divorced,Ballot c
2806,Pretty happy,2,Working fulltime,56,Never married,Ballot b
2808,Not too happy,1,Working fulltime,40,Divorced,Ballot c
